Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
United States,2020-03-01,0.013803268
United States,2020-03-02,0.014221548
United States,2020-03-03,0.021750603
United States,2020-03-04,0.03471731
United States,2020-03-05,0.05437651
United States,2020-03-06,0.08030992
United States,2020-03-07,0.11084442
United States,2020-03-08,0.1635478
United States,2020-03-09,0.22085229
United States,2020-03-10,0.30199876
United States,2020-03-11,0.45048845
United States,2020-03-12,0.6370417
United States,2020-03-13,0.8273595
United States,2020-03-14,1.0988238
United States,2020-03-15,1.4493431
United States,2020-03-16,1.8981584
United States,2020-03-17,2.7025125
United States,2020-03-18,3.5302901
United States,2020-03-19,4.673033
United States,2020-03-20,6.4871173
United States,2020-03-21,8.739978
United States,2020-03-22,11.496867
United States,2020-03-23,14.797521
United States,2020-03-24,18.407284
United States,2020-03-25,21.91457
United States,2020-03-26,25.3039
United States,2020-03-27,29.174252
United States,2020-03-28,34.34462
United States,2020-03-29,39.69234
United States,2020-03-30,44.528923
United States,2020-03-31,50.968773
United States,2020-04-01,52.968994
United States,2020-04-02,57.95825
United States,2020-04-03,64.048
United States,2020-04-04,68.781265
United States,2020-04-05,73.68059
United States,2020-04-06,78.4745
United States,2020-04-07,78.81875
United States,2020-04-08,84.295296
United States,2020-04-09,86.84472
United States,2020-04-10,89.13439
United States,2020-04-11,91.20614
United States,2020-04-12,91.675446
United States,2020-04-13,91.4249
United States,2020-04-14,91.47091
United States,2020-04-15,90.05502
United States,2020-04-16,88.34175
United States,2020-04-17,84.60232
United States,2020-04-18,83.243324
United States,2020-04-19,82.045784
United States,2020-04-20,80.6847
United States,2020-04-21,80.25638
United States,2020-04-22,80.751625
United States,2020-04-23,81.03104
United States,2020-04-24,83.23203
United States,2020-04-25,83.95022
United States,2020-04-26,85.81659
United States,2020-04-27,88.04268
United States,2020-04-28,88.03975
United States,2020-04-29,86.92294
United States,2020-04-30,86.08972
United States,2020-05-01,84.543755
United States,2020-05-02,83.71138
United States,2020-05-03,83.001976
United States,2020-05-04,80.78049
United States,2020-05-05,80.7236
United States,2020-05-06,80.12379
United States,2020-05-07,79.68166
United States,2020-05-08,79.12367
United States,2020-05-09,78.007286
United States,2020-05-10,76.23001
United States,2020-05-11,75.236595
United States,2020-05-12,73.03183
United States,2020-05-13,72.03883
United States,2020-05-14,72.467155
United States,2020-05-15,69.07741
United States,2020-05-16,71.62515
United States,2020-05-17,70.70284
United States,2020-05-18,70.77145
United States,2020-05-19,70.46233
United States,2020-05-20,71.63101
United States,2020-05-21,70.80323
United States,2020-05-22,73.384026
United States,2020-05-23,69.84872
United States,2020-05-24,69.57056
United States,2020-05-25,67.63978
United States,2020-05-26,67.94679
United States,2020-05-27,66.539276
United States,2020-05-28,64.693405
United States,2020-05-29,63.02112
United States,2020-05-30,62.180794
United States,2020-05-31,61.251373
United States,2020-06-01,62.364834
United States,2020-06-02,62.705734
United States,2020-06-03,61.776314
United States,2020-06-04,63.22524
United States,2020-06-05,63.721737
United States,2020-06-06,62.33639
United States,2020-06-07,62.650105
United States,2020-06-08,62.29791
United States,2020-06-09,61.038467
United States,2020-06-10,61.45424
United States,2020-06-11,60.453293
United States,2020-06-12,61.074856
United States,2020-06-13,61.919785
United States,2020-06-14,63.52682
United States,2020-06-15,64.84399
United States,2020-06-16,65.81565
United States,2020-06-17,66.83626
United States,2020-06-18,69.427925
United States,2020-06-19,70.94838
United States,2020-06-20,73.3033
United States,2020-06-21,75.29933
United States,2020-06-22,78.241104
United States,2020-06-23,80.98795
United States,2020-06-24,84.37895
United States,2020-06-25,89.86262
United States,2020-06-26,94.67452
United States,2020-06-27,102.41313
United States,2020-06-28,108.03274
United States,2020-06-29,112.29334
United States,2020-06-30,116.57571
United States,2020-07-01,120.6828
United States,2020-07-02,124.600426
United States,2020-07-03,133.8118
United States,2020-07-04,137.33833
United States,2020-07-05,143.12148
United States,2020-07-06,145.34883
United States,2020-07-07,146.53256
United States,2020-07-08,151.65483
United States,2020-07-09,155.6289
United States,2020-07-10,157.90143
United States,2020-07-11,160.6165
United States,2020-07-12,164.05183
United States,2020-07-13,172.11797
United States,2020-07-14,179.7587
United States,2020-07-15,182.06927
United States,2020-07-16,185.31598
United States,2020-07-17,188.50076
United States,2020-07-18,191.52829
United States,2020-07-19,195.03055
United States,2020-07-20,194.6382
United States,2020-07-21,195.19536
United States,2020-07-22,196.12895
United States,2020-07-23,195.63538
United States,2020-07-24,195.64668
United States,2020-07-25,197.30348
United States,2020-07-26,195.71402
United States,2020-07-27,193.3181
United States,2020-07-28,192.37572
United States,2020-07-29,190.48843
United States,2020-07-30,188.55263
United States,2020-07-31,185.39001
United States,2020-08-01,182.46162
United States,2020-08-02,180.3836
United States,2020-08-03,178.21524
United States,2020-08-04,175.32492
United States,2020-08-05,171.69508
United States,2020-08-06,168.91267
United States,2020-08-07,165.03815
United States,2020-08-08,159.61053
United States,2020-08-09,157.23553
United States,2020-08-10,155.25581
United States,2020-08-11,153.42542
United States,2020-08-12,152.60893
United States,2020-08-13,155.4959
United States,2020-08-14,154.99396
United States,2020-08-15,154.30673
United States,2020-08-16,151.69456
United States,2020-08-17,151.46785
United States,2020-08-18,149.38565
United States,2020-08-19,148.63777
United States,2020-08-20,141.38771
United States,2020-08-21,138.11758
United States,2020-08-22,135.88606
United States,2020-08-23,132.08807
United States,2020-08-24,128.49629
United States,2020-08-25,126.285675
United States,2020-08-26,123.82911
United States,2020-08-27,123.389496
United States,2020-08-28,123.32927
United States,2020-08-29,123.635864
United States,2020-08-30,123.370255
United States,2020-08-31,122.68344
United States,2020-09-01,122.86121
United States,2020-09-02,124.10769
United States,2020-09-03,123.523766
United States,2020-09-04,122.359695
United States,2020-09-05,121.670364
