Entity,Day,Weekly cases
United States,2020-03-01,33
United States,2020-03-02,34
United States,2020-03-03,52
United States,2020-03-04,83
United States,2020-03-05,130
United States,2020-03-06,192
United States,2020-03-07,265
United States,2020-03-08,391
United States,2020-03-09,528
United States,2020-03-10,722
United States,2020-03-11,1077
United States,2020-03-12,1523
United States,2020-03-13,1978
United States,2020-03-14,2627
United States,2020-03-15,3465
United States,2020-03-16,4538
United States,2020-03-17,6461
United States,2020-03-18,8440
United States,2020-03-19,11172
United States,2020-03-20,15509
United States,2020-03-21,20895
United States,2020-03-22,27486
United States,2020-03-23,35377
United States,2020-03-24,44007
United States,2020-03-25,52392
United States,2020-03-26,60495
United States,2020-03-27,69748
United States,2020-03-28,82109
United States,2020-03-29,94894
United States,2020-03-30,106457
United States,2020-03-31,121853
United States,2020-04-01,126635
United States,2020-04-02,138563
United States,2020-04-03,153122
United States,2020-04-04,164438
United States,2020-04-05,176151
United States,2020-04-06,187612
United States,2020-04-07,188435
United States,2020-04-08,201528
United States,2020-04-09,207623
United States,2020-04-10,213097
United States,2020-04-11,218050
United States,2020-04-12,219172
United States,2020-04-13,218573
United States,2020-04-14,218683
United States,2020-04-15,215298
United States,2020-04-16,211202
United States,2020-04-17,202262
United States,2020-04-18,199013
United States,2020-04-19,196150
United States,2020-04-20,192896
United States,2020-04-21,191872
United States,2020-04-22,193056
United States,2020-04-23,193724
United States,2020-04-24,198986
United States,2020-04-25,200703
United States,2020-04-26,205165
United States,2020-04-27,210487
United States,2020-04-28,210480
United States,2020-04-29,207810
United States,2020-04-30,205818
United States,2020-05-01,202122
United States,2020-05-02,200132
United States,2020-05-03,198436
United States,2020-05-04,193125
United States,2020-05-05,192989
United States,2020-05-06,191555
United States,2020-05-07,190498
United States,2020-05-08,189164
United States,2020-05-09,186495
United States,2020-05-10,182246
United States,2020-05-11,179871
United States,2020-05-12,174600
United States,2020-05-13,172226
United States,2020-05-14,173250
United States,2020-05-15,165146
United States,2020-05-16,171237
United States,2020-05-17,169032
United States,2020-05-18,169196
United States,2020-05-19,168457
United States,2020-05-20,171251
United States,2020-05-21,169272
United States,2020-05-22,175442
United States,2020-05-23,166990
United States,2020-05-24,166325
United States,2020-05-25,161709
United States,2020-05-26,162443
United States,2020-05-27,159078
United States,2020-05-28,154665
