w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,-34
0,0,0,0,0,0,0,0,0,-15
0,0,0,0,0,0,0,0,0,-9
0,0,0,0,0,0,0,0,0,-13
0,0,0,0,0,0,0,0,0,-38
0,0,0,0,0,0,0,0,0,-4
0,0,0,0,0,0,0,0,0,-37
0,0,0,0,0,0,0,0,0,-85
0,0,0,0,0,0,0,0,0,2
0.021750603,0,0,0,0,0,0,0,0,-66
0.30199876,0,0,0,0,0,0,0,0,-75
2.7025125,0,0,0,0,0,0,0,0,-60
18.407284,0,0,0,0,0,0,0,0,-83
50.968773,0,0,0,0,0,0,0,0,-98
78.81875,0,0,0,0,0,0,0,0,-63
91.47091,0,0,0,0,0,0,0,0,-116
80.25638,0,0,0,0,0,0,0,0,-71
88.03975,0,0,0,0,0,0,0,0,-114
80.7236,0,0,0,0,0,0,0,0,-66
73.03183,0,0,0,0,0,0,0,0,-42
70.46233,0,0,0,0,0,0,0,0,-39
67.94679,0,0,0,0,0,0,0,0,-64
62.705734,0,0,0,0,0,0,0,0,-11
0,61.038467,0,0,0,0,0,0,0,-60
0,65.81565,0,0,0,0,0,0,0,-40
0,80.98795,0,0,0,0,0,0,0,-93
0,116.57571,0,0,0,0,0,0,0,6
0,146.53256,0,0,0,0,0,0,0,-1
0,179.7587,0,0,0,0,0,0,0,-89
0,195.19536,0,0,0,0,0,0,0,-37
0,192.37572,0,0,0,0,0,0,0,-71
0,175.32492,0,0,0,0,0,0,0,-41
0,153.42542,0,0,0,0,0,0,0,-83
0,149.38565,0,0,0,0,0,0,0,-101
0,126.285675,0,0,0,0,0,0,0,-53
0,122.86121,0,0,0,0,0,0,0,-71
0,0,122.58807,0,0,0,0,0,0,-33
0,0,101.85724,0,0,0,0,0,0,-66
0,0,118.93774,0,0,0,0,0,0,-69
0,0,127.88058,0,0,0,0,0,0,-63
0,0,127.26738,0,0,0,0,0,0,-35
0,0,146.14189,0,0,0,0,0,0,-61
0,0,164.14595,0,0,0,0,0,0,-86
0,0,204.03488,0,0,0,0,0,0,-35
0,0,272.70572,0,0,0,0,0,0,-24
0,0,333.44803,0,0,0,0,0,0,-39
0,0,445.54855,0,0,0,0,0,0,-39
0,0,500.8177,0,0,0,0,0,0,-98
0,0,470.31665,0,0,0,0,0,0,-88
0,0,576.2944,0,0,0,0,0,0,-64
0,0,620.9069,0,0,0,0,0,441650,-105
0,0,630.8587,0,0,0,0,0,1748764,-96
0,0,532.41504,0,0,0,0,0,2272646,-65
0,0,631.7337,0,0,0,0,0,3753569,-103
0,0,718.2522,0,0,0,0,0,5842021,-80
0,0,629.626,0,0,0,0,0,6479340,-65
0,0,492.24667,0,0,0,0,0,9039912,-38
0,0,423.43405,0,0,0,0,0,9460062,-81
0,0,338.64017,0,0,0,0,0,11603920,-93
0,0,259.37384,0,0,0,0,0,10647616,-81
0,0,185.29381,0,0,0,0,0,11516680,-42
0,0,194.2835,0,0,0,0,0,15106143,-91
0,0,0,167.8724,0,0,0,0,17791178,-83
0,0,0,159.79834,0,0,0,0,15737996,-89
0,0,0,160.50732,0,0,0,0,18739238,-46
0,0,0,180.1088,0,0,0,0,21507687,-66
0,0,0,185.26411,0,0,0,0,21779287,-10
0,0,0,195.7065,0,0,0,0,22404204,-49
0,0,0,197.60255,0,0,0,0,19768547,-59
0,0,0,155.63853,0,0,0,0,17823011,-33
0,0,0,138.37022,0,0,0,0,13883734,-39
0,0,0,113.74645,0,0,0,0,13485137,-16
0,0,0,92.02304,0,0,0,0,13108881,-23
0,0,0,70.54348,0,0,0,0,9763827,-51
0,0,0,57.528255,0,0,0,0,6563680,17
0,0,0,40.55316,0,0,0,0,7843998,-61
0,0,0,39.660553,0,0,0,0,9005069,-77
0,0,0,33.861088,0,0,0,0,5005306,-39
0,0,0,0,37.733112,0,0,0,7847448,-44
0,0,0,0,40.45403,0,0,0,3594853,-31
0,0,0,0,125.67624,0,0,0,3674044,-67
0,0,0,0,102.52649,0,0,0,3800524,-29
0,0,0,0,165.5957,0,0,0,4600494,-16
0,0,0,0,247.55533,0,0,0,4986722,-21
0,0,0,0,342.29718,0,0,0,5141637,-25
0,0,0,0,384.81082,0,0,0,5915739,2
0,0,0,0,433.21805,0,0,0,6227306,-30
0,0,0,0,457.71594,0,0,0,6577054,-28
0,0,0,0,478.26273,0,0,0,4983296,-5
0,0,0,0,428.78262,0,0,0,5439070,-2
0,0,0,0,412.9649,0,0,0,4461399,-22
0,0,0,0,337.3351,0,0,0,5317594,14
0,0,0,0,306.55426,0,0,0,7128957,-8
0,0,0,0,277.0755,0,0,0,5627721,-42
0,0,0,0,235.84598,0,0,0,5409208,-28
0,0,0,0,193.27377,0,0,0,7801514,-19
0,0,0,0,0,218.4731,0,0,8784825,-49
0,0,0,0,0,216.42896,0,0,9591953,-41
0,0,0,0,0,247.84729,0,0,10921127,-37
0,0,0,0,0,275.62698,0,0,4492149,43
0,0,0,0,0,257.57147,0,0,14069045,-27
0,0,0,0,0,320.12955,0,0,14179188,29
0,0,0,0,0,349.00473,0,0,10936559,-20
0,0,0,0,0,404.40646,0,0,8932161,-21
0,0,0,0,0,650.3138,0,0,7434284,-15
0,0,0,0,0,1287.78,0,0,8022489,-36
0,0,0,0,0,2059.7678,0,0,8877413,-23
0,0,0,0,0,2342.516,0,0,7016256,-53
0,0,0,0,0,2008.4612,0,0,4171100,-59
0,0,0,0,0,1474.9155,0,0,4589135,-106
0,0,0,0,0,840.60394,0,0,3949296,-74
0,0,0,0,0,475.40292,0,0,3314760,-76
0,0,0,0,0,277.8786,0,0,2587508,8
0,0,0,0,0,179.91597,0,0,2341308,-77
0,0,0,0,0,130.4664,0,0,1909369,-63
0,0,0,0,0,97.201775,0,0,1588802,-7
0,0,0,0,0,86.74057,0,0,1339360,-78
