w1,w2,w3,w4,w5,w6,w7,w8,doses,EM
0,0,0,0,0,0,0,0,0,-1351
0,0,0,0,0,0,0,0,0,-1374
0,0,0,0,0,0,0,0,0,-1208
0,0,0,0,0,0,0,0,0,-1085
0,0,0,0,0,0,0,0,0,-610
0,0,0,0,0,0,0,0,0,-354
0,0,0,0,0,0,0,0,0,-651
0,0,0,0,0,0,0,0,0,-262
0,0,0,0,0,0,0,0,0,36
0.021750603,0,0,0,0,0,0,0,0,9
0.30199876,0,0,0,0,0,0,0,0,165
2.7025125,0,0,0,0,0,0,0,0,-181
18.407284,0,0,0,0,0,0,0,0,1928
50.968773,0,0,0,0,0,0,0,0,4829
78.81875,0,0,0,0,0,0,0,0,7397
91.47091,0,0,0,0,0,0,0,0,7928
80.25638,0,0,0,0,0,0,0,0,7160
88.03975,0,0,0,0,0,0,0,0,5523
80.7236,0,0,0,0,0,0,0,0,4455
73.03183,0,0,0,0,0,0,0,0,4006
70.46233,0,0,0,0,0,0,0,0,2754
67.94679,0,0,0,0,0,0,0,0,2138
62.705734,0,0,0,0,0,0,0,0,1362
0,61.038467,0,0,0,0,0,0,0,1211
0,65.81565,0,0,0,0,0,0,0,1156
0,80.98795,0,0,0,0,0,0,0,1575
0,116.57571,0,0,0,0,0,0,0,1788
0,146.53256,0,0,0,0,0,0,0,2063
0,179.7587,0,0,0,0,0,0,0,2846
0,195.19536,0,0,0,0,0,0,0,3039
0,192.37572,0,0,0,0,0,0,0,3052
0,175.32492,0,0,0,0,0,0,0,2716
0,153.42542,0,0,0,0,0,0,0,2929
0,149.38565,0,0,0,0,0,0,0,2839
0,126.285675,0,0,0,0,0,0,0,2553
0,122.86121,0,0,0,0,0,0,0,2018
0,0,122.58807,0,0,0,0,0,0,1661
0,0,101.85724,0,0,0,0,0,0,1708
0,0,118.93774,0,0,0,0,0,0,2359
0,0,127.88058,0,0,0,0,0,0,1585
0,0,127.26738,0,0,0,0,0,0,2077
0,0,146.14189,0,0,0,0,0,0,1604
